batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 1, 9, 1590992130.868, 1590992131.371, 1590992131.376, 1590992131.377, 1590992133.027, 1590992133.031, 1590992133.037, 1590992133.037, 1590992133.038, 1590992133.213
512, 0, 1, 10, 1590992131.746, 1590992131.866, 1590992131.867, 1590992131.867, 1590992133.79, 1590992133.817, 1590992133.824, 1590992133.824, 1590992133.824, 1590992134.076
512, 0, 1, 11, 1590992132.707, 1590992132.712, 1590992132.713, 1590992132.713, 1590992134.234, 1590992134.476, 1590992134.485, 1590992134.485, 1590992134.486, 1590992134.854
512, 0, 1, 12, 1590992133.213, 1590992133.6, 1590992133.601, 1590992133.601, 1590992134.999, 1590992135.265, 1590992135.269, 1590992135.269, 1590992135.269, 1590992135.621
512, 0, 1, 13, 1590992134.076, 1590992134.076, 1590992134.077, 1590992134.077, 1590992135.816, 1590992135.901, 1590992135.907, 1590992135.907, 1590992135.908, 1590992135.908
512, 0, 1, 14, 1590992134.854, 1590992134.875, 1590992134.876, 1590992134.876, 1590992136.523, 1590992136.586, 1590992136.592, 1590992136.592, 1590992136.592, 1590992136.88
512, 0, 1, 15, 1590992135.622, 1590992135.642, 1590992135.644, 1590992135.644, 1590992136.976, 1590992137.404, 1590992137.41, 1590992137.41, 1590992137.41, 1590992137.411
512, 0, 1, 16, 1590992135.908, 1590992136.395, 1590992136.396, 1590992136.396, 1590992137.933, 1590992137.958, 1590992137.964, 1590992137.964, 1590992137.964, 1590992137.965
512, 0, 1, 17, 1590992136.88, 1590992136.939, 1590992136.94, 1590992136.94, 1590992138.442, 1590992138.913, 1590992138.944, 1590992138.944, 1590992138.945, 1590992139.118
512, 0, 1, 18, 1590992137.411, 1590992137.73, 1590992137.731, 1590992137.731, 1590992139.12, 1590992139.358, 1590992139.364, 1590992139.364, 1590992139.364, 1590992139.365
512, 0, 1, 19, 1590992137.965, 1590992138.305, 1590992138.306, 1590992138.306, 1590992140.087, 1590992140.1, 1590992140.105, 1590992140.105, 1590992140.106, 1590992140.107
512, 0, 1, 20, 1590992139.118, 1590992139.118, 1590992139.119, 1590992139.119, 1590992140.496, 1590992140.854, 1590992140.86, 1590992140.86, 1590992140.86, 1590992141.211
512, 0, 1, 21, 1590992139.365, 1590992139.888, 1590992139.888, 1590992139.888, 1590992141.337, 1590992141.57, 1590992141.577, 1590992141.577, 1590992141.774, 1590992141.775
512, 0, 1, 22, 1590992140.107, 1590992140.345, 1590992140.346, 1590992140.346, 1590992144.583, 1590992144.583, 1590992144.594, 1590992144.594, 1590992144.595, 1590992145.009
512, 0, 1, 23, 1590992141.211, 1590992141.211, 1590992141.212, 1590992141.212, 1590992145.182, 1590992145.453, 1590992145.459, 1590992145.459, 1590992145.651, 1590992145.652
512, 0, 1, 24, 1590992141.775, 1590992144.484, 1590992144.487, 1590992144.487, 1590992146.342, 1590992146.343, 1590992146.352, 1590992146.352, 1590992146.562, 1590992146.563
512, 0, 1, 25, 1590992145.009, 1590992145.009, 1590992145.01, 1590992145.01, 1590992147.122, 1590992147.153, 1590992147.159, 1590992147.159, 1590992147.476, 1590992147.477
512, 0, 1, 26, 1590992145.652, 1590992146.201, 1590992146.22, 1590992146.221, 1590992147.646, 1590992147.963, 1590992147.969, 1590992147.969, 1590992148.168, 1590992148.17
512, 0, 1, 27, 1590992146.563, 1590992146.866, 1590992146.867, 1590992146.867, 1590992148.69, 1590992148.691, 1590992148.697, 1590992148.697, 1590992149.013, 1590992149.014
512, 0, 1, 28, 1590992147.477, 1590992147.477, 1590992147.477, 1590992147.478, 1590992149.167, 1590992149.352, 1590992149.358, 1590992149.358, 1590992149.585, 1590992149.616
512, 0, 1, 29, 1590992148.17, 1590992148.561, 1590992148.568, 1590992148.568, 1590992149.867, 1590992150.404, 1590992150.41, 1590992150.41, 1590992150.411, 1590992150.57
512, 0, 1, 30, 1590992149.014, 1590992149.014, 1590992149.015, 1590992149.015, 1590992150.572, 1590992150.982, 1590992150.988, 1590992150.988, 1590992150.988, 1590992151.255
512, 0, 1, 31, 1590992149.616, 1590992149.676, 1590992149.677, 1590992149.677, 1590992151.493, 1590992151.788, 1590992151.794, 1590992151.794, 1590992151.963, 1590992151.964
512, 0, 1, 32, 1590992150.57, 1590992150.57, 1590992150.571, 1590992150.571, 1590992157.446, 1590992157.446, 1590992157.454, 1590992157.454, 1590992157.455, 1590992157.455
512, 0, 1, 33, 1590992151.255, 1590992151.332, 1590992151.333, 1590992151.333, 1590992157.994, 1590992158.213, 1590992158.219, 1590992158.219, 1590992158.22, 1590992158.22
512, 0, 1, 34, 1590992151.964, 1590992157.334, 1590992157.335, 1590992157.335, 1590992158.662, 1590992158.758, 1590992158.765, 1590992158.766, 1590992158.767, 1590992158.978
512, 0, 1, 35, 1590992157.455, 1590992157.743, 1590992157.744, 1590992157.744, 1590992159.195, 1590992159.614, 1590992159.62, 1590992159.62, 1590992160.01, 1590992160.011
512, 0, 1, 36, 1590992158.22, 1590992158.562, 1590992158.563, 1590992158.57, 1590992160.127, 1590992160.371, 1590992160.374, 1590992160.374, 1590992160.573, 1590992160.626
512, 0, 1, 37, 1590992158.978, 1590992159.161, 1590992159.162, 1590992159.162, 1590992160.767, 1590992160.941, 1590992160.946, 1590992160.946, 1590992160.947, 1590992161.173
